candidate,candidate_signature,current_exact,current_alias,semantic_equivalent,composable,current_surface,pandas,polars,duckdb_sql,field_legal,pit_legal,disposition,replacement,reason
intra_cojump_breadth_ex_self,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,group_mean(intra_jump_count),group_mean(intra_jump_count)
intra_common_trading_intensity,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,cross-stock common intensity; P1
intra_comovement_curve_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,ex-self intraday comovement curve; P1
intra_consolidation_quality,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,consolidation tightness; P0
intra_contrastive_path_embedding,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,contrastive path embedding; research
intra_covariance_manifold_shift,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,SPD manifold shift; P1
intra_critical_transition_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,critical-transition composite; P1
intra_diffusion_map_state,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,diffusion-map eigendecomposition; research
intra_distribution_moment,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intra_realized_skewness/kurtosis/quarticity,intra_realized_skewness/kurtosis/quarticity
intra_dmd_koopman_features,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session-level DMD (daily ts_dmd_* exists); P1
intra_dtw_archetype_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,DTW archetype (O(n^2)); research
intra_dynamic_stock_graph_features,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,cross-sectional intraday graph; P1
intra_emd_hilbert_huang_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,EMD/HHT pipeline; research
intra_eod_reversal_decomposition,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,EOD move decomposition; P0
intra_event_pre_post_contrast,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,event pre/post contrast; P0 (spec 11.2)
intra_event_window_reduce,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,event-window pre/post reduce; P0 (spec 11.1)
intra_extreme_event_interval_memory,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,event_interval_memory / ts_extremal_index,event_interval_memory / ts_extremal_index
intra_frequency_granger_price_volume,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_cross_spectral_* + ts_kernel_granger_score,ts_cross_spectral_* + ts_kernel_granger_score
intra_function_on_function_anomaly_response,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,FoF regression; research
intra_functional_autoencoder_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,intraday path AE reconstruction error; P2
intra_functional_beta_profile_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,functional beta curve ex-self; P1
intra_functional_motif_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,continuous functional-motif score; P1
intra_functional_pca_shape,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intraday_profile_pca_residual / panel_rolling_pca_*,intraday_profile_pca_residual / panel_rolling_pca_*
intra_hawkes_event_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,Hawkes fitting; research
intra_hmm_posterior_entropy,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,HMM posterior entropy; research
intra_hmm_state_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,HMM fitting; research
intra_hsmm_duration_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,HSMM fitting; research
intra_idiosyncratic_semivariance_balance_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,ex-self idio semivariance balance; P0
intra_impulse_event_detector,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,vol-scaled impulse detection; P0
intra_information_flow_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_transfer_entropy / kernel_granger,ts_transfer_entropy / kernel_granger
intra_jump_wavelet_morphology,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,wavelet+jump morphology; P1 research
intra_kalman_latent_price,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session-level Kalman (daily ts_kalman_* exists); P1
intra_kramers_moyal_dynamics,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_kramers_moyal_* family,ts_kramers_moyal_* family
intra_limit_pre_hit_pressure_profile,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,pre-hit return/volume accel (bar+limit fields only; R44 spec)
intra_liquidity_resilience_curve_fit,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,liquidity recovery half-life fit; P0
intra_local_conditional_entropy,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,conditional entropy estimator; P1
intra_local_drift_diffusion_surface,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,2D KM drift/diffusion surface; P1
intra_log_signature_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,log-signature tensor log; research
intra_market_profile_corr_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,market-profile correlation ex-self; P1
intra_matrix_profile_session_features,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session-level matrix profile; P1
intra_multifractal_spectrum,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_multifractal_* family,ts_multifractal_* family
intra_multiresolution_resample_reduce,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,1m->k-min resample reduce; P0
intra_multiscale_state_residence,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,multiscale state residence; P1
intra_neighbor_event_class,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,event neighbor classification; P0
intra_neural_cde_embedding,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,neural CDE training; research
intra_optimal_transport_profile_shift,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intraday_return_wasserstein_shift,intraday_return_wasserstein_shift
intra_persistent_homology_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_betti_1_max_persistence / persistence_entropy_*,ts_betti_1_max_persistence / persistence_entropy_*
intra_piecewise_linear_path_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,DP/PELT piecewise path; P2 research
intra_post_impulse_response,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,post-impulse retention/giveback; P0
intra_price_efficiency_state_space,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,efficiency hidden-state framing; research
intra_price_peak_ridge_valley_state,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,price peak/ridge/valley engine; P0
intra_price_shape_cosine_match,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intra_*_profile_cosine family,intra_*_profile_cosine family
intra_price_volume_cross_wavelet,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_modwt_band_corr / ts_cross_spectral_coherence,ts_modwt_band_corr / ts_cross_spectral_coherence
intra_probe_outcome_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,probe outcome composite; P0
intra_quantile_dependence_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_cross_quantilogram / quantile_* family,ts_cross_quantilogram / quantile_* family
intra_range_competition_profile,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,range competition profile; P1
intra_range_gap_flag,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,pre/post range-gap flag; P0
intra_realized_measure_state_vector,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,combine intra_realized_* + ts_vector_state_*,combine intra_realized_* + ts_vector_state_*
intra_recurrence_network_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_recurrence_* family,ts_recurrence_* family
intra_response_curve_features,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,response curve geometry; P1
intra_round_price_barrier_response,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,round-price barrier response; P0
intra_round_price_clustering_share,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,round-price clustering; P0
intra_rqa_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_rqa_* / ts_recurrence_* family,ts_rqa_* / ts_recurrence_* family
intra_same_slot_zscore,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,same-slot cross-day zscore; P0
intra_session_boundary_jump,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session-boundary discontinuity; P0
intra_session_ot_map,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,full OT transport map; P1
intra_session_segment_reduce,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intra_segment_return/volume_share/...,intra_segment_return/volume_share/...
intra_shapelet_match,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,shapelet matching; research
intra_signature_lead_lag_network,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,signature+lead-lag network; research
intra_slice_mask_pair_reduce,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,pairwise slice mask reducer; P0
intra_slice_mask_reduce,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session mask-quantile slice reducer; P0
intra_smart_money_fcm_score,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,fuzzy-c-means smart cluster on OHLCV features; P2 research
intra_smart_money_vwap_ratio,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,smart-money VWAP ratio; P0
intra_state_count,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state-target minute count; P0
intra_state_dwell_stats,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state dwell/persistence; P1 (spec 11.5)
intra_state_follow_beta,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state follow OLS slope; P1
intra_state_follow_corr,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state follow correlation; P0
intra_state_follow_ratio,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state follow ratio; P0
intra_state_interval_moment,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state event-gap moments; P0
intra_state_pair_same_slot_corr,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state-pair same-slot corr; P1
intra_state_space_volume_components,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,SSA volume components; P1
intra_state_sum,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state-target sum; P0
intra_state_transition_entropy,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,per-session transition entropy (daily ts_permutation_* differs); P1 (spec 11.4)
intra_state_vwap,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,state-conditioned VWAP; P0
intra_supply_absorption_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,supply absorption; P0
intra_symbolic_dynamics_features,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_permutation_entropy / lz_complexity / ...,ts_permutation_entropy / lz_complexity / ...
intra_tensor_common_mode,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,tensor decomposition; research
intra_topological_anomaly_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_persistence_* family,ts_persistence_* family
intra_topological_peer_anomaly,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,TDA peer anomaly; research
intra_transfer_operator_metastability,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_markov_spectral_gap / committor / MFPT,ts_markov_spectral_gap / committor / MFPT
intra_validated_lead_lag_network,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,statistical validation of lead-lag; research
intra_visibility_graph_features,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,session-level HVG (daily ts_hvg_* exists); P1
intra_visibility_motif_transition,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,HVG motif transitions; P1
intra_volume_at_price_profile,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,volume-at-price distribution; P0
intra_volume_peak_ridge_valley_state,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,volume peak/ridge/valley engine; P0
intra_volume_profile_peak_geometry,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,profile peak/valley geometry; P0
intra_volume_profile_supply_structure,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,overhead/supply structure; P0
intra_volume_profile_value_area,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,value area / POC; P0
intra_volume_shock_state,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,intra_slot_volume_surprise / volume_shock,intra_slot_volume_surprise / volume_shock
intra_wavelet_scattering_features,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,wavelet scattering cascade; research
intraday_value_at_extreme_state,,no,no,no,no,,,,,yes,yes,RESEARCH_ONLY_IMPLEMENT,,value-at-extreme-state; research
panel_apm_residual_tstat,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,cs_regression residual then ts_regression_tstat,cs_regression residual then ts_regression_tstat
panel_async_beta_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,staggered-refit daily ex-self beta; genuinely new
panel_cluster_risk_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,group_spectrum suite,group_spectrum suite
panel_cmra_ex_self,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,"ts_sum(benchmark_excess_return(ret, group_ex_self_weighted_mean(ret, mcap)))","ts_sum(benchmark_excess_return(ret, group_ex_self_weighted_mean(ret, mcap)))"
panel_day_night_beta_gap,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,ts_beta(overnight) - ts_beta(intraday),ts_beta(overnight) - ts_beta(intraday)
panel_ewm_beta_ex_self,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,ts_ewm_corr * std-ratio with ex-self market weight,ts_ewm_corr * std-ratio with ex-self market weight
panel_factor_pocket_strength,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,factor-payout regime persistence; new
panel_intraday_low_rank_residual_ex_self,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,intraday low-rank residual ex-self; P1
panel_intraday_ordered_reduce,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,time-vs-cs ordered reduce; P1
panel_peer_graph_aggregate,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,cs_knn_peer_mean_ex_self / relation_peer_weighted_mean_ex_self,cs_knn_peer_mean_ex_self / relation_peer_weighted_mean_ex_self
panel_predictability_mosaic_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,panel variant of predictability mosaic
panel_similarity_crowding_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,GroupCorrMstLength / GroupFeatureEffectiveRank,GroupCorrMstLength / GroupFeatureEffectiveRank
pastor_stambaugh_beta,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_pastor_stambaugh_liquidity_gamma,ts_pastor_stambaugh_liquidity_gamma
price_delay_score,,no,no,no,no,,,,,yes,yes,EXISTING_EXACT,ts_price_delay,ts_price_delay
report_asof,,no,no,no,no,,,,,yes,yes,ARCHITECTURE_SUPERSEDED,DataAccess PIT-asof join (knowledge_time=PubDate),DataAccess PIT-asof join (knowledge_time=PubDate)
same_calendar_day_mean,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,returns + day-of-year grouping,returns + day-of-year grouping
same_calendar_month_return,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,returns + month-boundary grouping,returns + month-boundary grouping
same_clock_lag,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,intra_same_slot_momentum + ts_delay,intra_same_slot_momentum + ts_delay
suspension_restart_response,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,session_event_recovery_score + suspension markers,session_event_recovery_score + suspension markers
trading_calendar_mask,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,calendar_day_diff / non-null volume mask,calendar_day_diff / non-null volume mask
ts_event_decay_kernel,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,event_decay_asof,event_decay_asof
ts_ewm_std,,yes,no,no,no,daily,,,,yes,yes,EXISTING_EXACT,ts_ewm_std already registered,ts_ewm_std already registered
ts_lagged_predictability_score,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,rolling rank-IC signal->realized_return meta-signal; P0
ts_online_change_point_score,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_change_point_probability / ts_glr_* / ts_pettitt_change_score,ts_change_point_probability / ts_glr_* / ts_pettitt_change_score
turnover_chip_age_cost_surface,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,2D age x cost chip surface; P1
turnover_chip_distribution,,no,no,no,no,,,,,yes,yes,EXISTING_EQUIVALENT,ts_turnover_cost_* family,ts_turnover_cost_* family
turnover_chip_distribution_transport,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,ts_wasserstein_shift / diff of ts_turnover_*,ts_wasserstein_shift / diff of ts_turnover_*
turnover_chip_overhang_surface,,no,no,no,no,,,,,yes,yes,TRUE_GAP_IMPLEMENT,,overhang supply surface; P1
winsorized_ratio,,no,no,no,no,,,,,yes,yes,COMPOSABLE_NO_NEW_OPERATOR,"divide(winsorize(num), winsorize(den))","divide(winsorize(num), winsorize(den))"
