canonical,recipe_slots,recipe
capital_change_magnitude,1,"{""total_capital"": ""continuous_close""}"
cash_flow_lifecycle_stage,1,"{""operating"": ""continuous_close""}"
category_age,1,"{""state"": ""continuous_close""}"
category_age_lower_bound,1,"{""state"": ""continuous_close""}"
category_frequency,1,"{""state"": ""continuous_close""}"
category_transition_rate,1,"{""state"": ""continuous_close""}"
category_transition_surprise,1,"{""state"": ""continuous_close""}"
cbrt,1,"{""x"": ""continuous_close""}"
cdl_dark_cloud_cover,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_doji,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_dragonfly_doji,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_engulfing,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_evening_star,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_gravestone_doji,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_hammer,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_hanging_man,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_harami,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_harami_cross,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_inside_bar,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_inverted_hammer,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_marubozu,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_morning_star,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_outside_bar,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_piercing,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_shooting_star,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_spinning_top,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
cdl_three_black_crows,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_three_white_soldiers,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_tweezer_bottom,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
cdl_tweezer_top,2,"{""open"": ""continuous_open"", ""close"": ""continuous_close""}"
ceil,1,"{""x"": ""continuous_close""}"
chikou_distance_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
choppiness_index,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
circulating_cap_ratio_change,1,"{""circulating_capital"": ""continuous_close""}"
circulating_cap_unlock_proxy,1,"{""circulating_capital"": ""continuous_close""}"
clip,1,"{""x"": ""continuous_close""}"
coalesce,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
composition_aitchison_distance,1,"{""x1"": ""continuous_close""}"
composition_clr_component,1,"{""target"": ""return_decimal""}"
composition_entropy,1,"{""x1"": ""continuous_close""}"
composition_ilr_balance,1,"{""x1"": ""continuous_close""}"
composition_js_divergence,1,"{""x1"": ""continuous_close""}"
composition_normalized_entropy,1,"{""x1"": ""continuous_close""}"
consolidation_pct,1,"{""close"": ""continuous_close""}"
consolidation_range_pct,1,"{""close"": ""continuous_close""}"
constant,1,"{""c"": ""continuous_close""}"
corwin_schultz_spread,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
cos,1,"{""x"": ""continuous_close""}"
cos_phase,1,"{""x"": ""continuous_close""}"
cosh,1,"{""x"": ""continuous_close""}"
coskewness_to_market,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""window"": 60}"
cot,1,"{""x"": ""continuous_close""}"
cross_event,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
cs_actual_lof_score,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_autoencoder_reconstruction_error,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_bucket,1,"{""x"": ""continuous_close""}"
cs_bucket_fixed,1,"{""x"": ""continuous_close""}"
cs_bucket_historical,1,"{""x"": ""continuous_close""}"
cs_count,1,"{""x"": ""continuous_close""}"
cs_coverage_ratio,1,"{""x"": ""continuous_close""}"
cs_demean,1,"{""x"": ""continuous_close""}"
cs_empirical_bayes_shrinkage,1,"{""estimate"": ""continuous_close""}"
cs_factor_bucket_return,2,"{""factor"": ""continuous_close"", ""ret"": ""return_decimal""}"
cs_fill_mean,1,"{""x"": ""continuous_close""}"
cs_fill_median,1,"{""x"": ""continuous_close""}"
cs_hartigan_dip,1,"{""x"": ""continuous_close""}"
cs_huber_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_impute_mean,1,"{""x"": ""continuous_close""}"
cs_impute_median,1,"{""x"": ""continuous_close""}"
cs_isolation,1,"{""x"": ""continuous_close""}"
cs_isolation_forest_score,1,"{""x"": ""continuous_close""}"
cs_isotonic_residual,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_isotonic_residual_lagged_direction,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_knn_distance,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_graph_dirichlet_energy,4,"{""target"": ""return_decimal"", ""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_local_gradient_norm,4,"{""target"": ""return_decimal"", ""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_local_linear_residual,4,"{""target"": ""return_decimal"", ""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_local_moran,4,"{""target"": ""return_decimal"", ""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_neighbor_retention,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_peer_mean_ex_self,4,"{""target"": ""return_decimal"", ""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_knn_tangent_residual,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_lad_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_local_curvature,1,"{""x"": ""continuous_close""}"
cs_local_density,1,"{""x"": ""continuous_close""}"
cs_local_density_score,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_mad,1,"{""x"": ""continuous_close""}"
cs_mad_zscore,1,"{""x"": ""continuous_close""}"
cs_mahalanobis_distance,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_mean,1,"{""x"": ""continuous_close""}"
cs_multi_resid,1,"{""y"": ""return_decimal""}"
cs_multi_ridge_resid,1,"{""y"": ""return_decimal""}"
cs_neighbor_gap,1,"{""x"": ""continuous_close""}"
cs_neutralize,1,"{""y"": ""return_decimal""}"
cs_pct_rank,1,"{""x"": ""continuous_close""}"
cs_physical_panel_coverage,1,"{""x"": ""continuous_close""}"
cs_predictability_mosaic_score,1,"{""base_signal"": ""continuous_close""}"
cs_quantile,1,"{""x"": ""continuous_close""}"
cs_quantile_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_rank_churn,1,"{""x"": ""continuous_close""}"
cs_rank_combined_churn,1,"{""x"": ""continuous_close""}"
cs_rank_composition_churn,1,"{""x"": ""continuous_close""}"
cs_rank_copula_entropy,2,"{""a"": ""continuous_close"", ""b"": ""continuous_close""}"
cs_rank_copula_mi,2,"{""a"": ""continuous_close"", ""b"": ""continuous_close""}"
cs_rank_gaussian,1,"{""x"": ""continuous_close""}"
cs_regression,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_relative_density_ratio,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_residual_percentile,1,"{""resid"": ""continuous_close""}"
cs_ridge_resid,1,"{""y"": ""return_decimal""}"
cs_robust_mahalanobis_mad,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_shrink_to_group_mean,1,"{""x"": ""continuous_close""}"
cs_shrinkage_mahalanobis,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_sliced_wasserstein_copula_shift,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
cs_spline_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_std,1,"{""x"": ""continuous_close""}"
cs_sum,1,"{""x"": ""continuous_close""}"
cs_tail_breadth,1,"{""x"": ""continuous_close""}"
cs_tail_retention,1,"{""x"": ""continuous_close""}"
cs_trimmed_ols_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
cs_universe_coverage,1,"{""x"": ""continuous_close""}"
cs_valid_count,1,"{""x"": ""continuous_close""}"
cs_weighted_demean,1,"{""x"": ""continuous_close""}"
cs_weighted_mean,1,"{""x"": ""continuous_close""}"
cs_weighted_percentile_rank,1,"{""x"": ""continuous_close""}"
cs_weighted_zscore,1,"{""x"": ""continuous_close""}"
cs_wls_resid,2,"{""y"": ""return_decimal"", ""x"": ""continuous_close""}"
csc,1,"{""x"": ""continuous_close""}"
cube,1,"{""x"": ""continuous_close""}"
date_diff_days,2,"{""left"": ""event_date"", ""right"": ""event_date""}"
dema_distance_pct,1,"{""close"": ""continuous_close""}"
digital_count,1,"{""x"": ""continuous_close""}"
directional_change_extent,1,"{""price"": ""continuous_close""}"
directional_change_state,1,"{""price"": ""continuous_close""}"
divide,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
dollar_volume,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
dollar_volume_zscore,2,"{""close"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
donchian_breakout_down,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
donchian_breakout_up,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
donchian_channel_position,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
donchian_lower,1,"{""low"": ""continuous_low""}"
donchian_mid,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
donchian_position,3,"{""close"": ""continuous_close"", ""high"": ""continuous_high"", ""low"": ""continuous_low""}"
donchian_upper,1,"{""high"": ""continuous_high""}"
donchian_width_pct,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
down_volume_ratio,2,"{""ret"": ""return_decimal"", ""volume"": ""raw_volume_shares""}"
earnings_yield,1,"{""pe"": ""price_to_earnings""}"
efficiency_ratio,1,"{""close"": ""continuous_close""}"
ema_crossover,1,"{""close"": ""continuous_close""}"
ema_distance_pct,1,"{""close"": ""continuous_close""}"
eq,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
event_abnormal_return_past,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""event"": ""event_mask""}"
event_active_count,2,"{""ret"": ""return_decimal"", ""event"": ""event_mask""}"
event_allan_factor,1,"{""event"": ""event_mask""}"
event_allan_log_mean,1,"{""event"": ""event_mask""}"
event_allan_scaling_slope,1,"{""event"": ""event_mask""}"
event_arithmetic_return_sum,2,"{""ret"": ""return_decimal"", ""event"": ""event_mask""}"
event_cluster_count,1,"{""condition"": ""condition_bool""}"
event_cluster_duration,1,"{""event"": ""event_mask""}"
event_cluster_mean_size,1,"{""condition"": ""condition_bool""}"
event_cluster_score,1,"{""event"": ""event_mask""}"
event_cumulative_return_past,2,"{""ret"": ""return_decimal"", ""event"": ""event_mask""}"
event_decay_asof,1,"{""event"": ""event_mask""}"
event_decay_window,1,"{""event"": ""event_mask""}"
event_direction_imbalance,1,"{""event"": ""event_mask""}"
event_direction_persistence,1,"{""event"": ""event_mask""}"
event_fano_excess,1,"{""event"": ""event_mask""}"
event_fano_factor,1,"{""event"": ""event_mask""}"
event_flip_density,1,"{""event"": ""event_mask""}"
event_frequency,1,"{""condition"": ""condition_bool""}"
event_hawkes_branching_ratio_proxy,1,"{""event"": ""event_mask""}"
event_historical_response_mean,1,"{""event"": ""event_mask""}"
event_historical_response_sign_balance,1,"{""event"": ""event_mask""}"
event_interval_mark_coupling,1,"{""mark"": ""continuous_close""}"
event_interval_memory,1,"{""event"": ""event_mask""}"
event_level_survival_share,2,"{""event"": ""event_mask"", ""x"": ""continuous_close""}"
event_local_variation,1,"{""event"": ""event_mask""}"
event_log_return_sum,2,"{""ret"": ""return_decimal"", ""event"": ""event_mask""}"
event_mark_autocorr,1,"{""mark"": ""continuous_close""}"
event_rate_pct,1,"{""event"": ""event_mask""}"
event_recency_z,1,"{""event"": ""event_mask""}"
event_refractory,1,"{""condition"": ""condition_bool""}"
event_response_decay_rate,1,"{""event"": ""event_mask""}"
event_response_dispersion,1,"{""event"": ""event_mask""}"
event_response_effective_events,1,"{""event"": ""event_mask""}"
event_response_overlap_ratio,1,"{""event"": ""event_mask""}"
event_response_peak_lag,1,"{""event"": ""event_mask""}"
event_response_reversal_strength,1,"{""event"": ""event_mask""}"
event_return_since_last,2,"{""ret"": ""return_decimal"", ""event"": ""event_mask""}"
event_streak,1,"{""event"": ""event_mask""}"
ewm_corr,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ewm_cov,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
ex_self_mad_z,1,"{""x"": ""continuous_close""}"
ex_self_mean_gap,1,"{""x"": ""continuous_close""}"
ex_self_rank_pct,1,"{""x"": ""continuous_close""}"
ex_self_zscore,1,"{""x"": ""continuous_close""}"
exp,1,"{""x"": ""continuous_close""}"
exp_neg,1,"{""x"": ""continuous_close""}"
expanding_rank,1,"{""x"": ""continuous_close""}"
ffill_limit,1,"{""x"": ""continuous_close""}"
fillna_const,1,"{""x"": ""continuous_close""}"
fin_accrual_ratio,1,"{""flow_type"": ""cash_flow_type""}"
fin_acquisition_cash_intensity,2,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_actual_expectation_divergence,1,"{""expected"": ""earnings_expected""}"
fin_announcement_lag,1,"{""period_end_date"": ""continuous_close""}"
fin_applicability_mask,1,"{""value"": ""continuous_close""}"
fin_average_balance,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_beat_streak,2,"{""expected"": ""earnings_expected"", ""period_id"": ""period_id""}"
fin_borrowing_intensity,2,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_cagr,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_capex_growth,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_capex_intensity,2,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_cash_burn_runway,1,"{""period_id"": ""period_id""}"
fin_cash_conversion,1,"{""flow_type"": ""cash_flow_type""}"
fin_cash_earnings_gap,1,"{""earnings"": ""continuous_close""}"
fin_cash_sales_divergence,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_cashflow_persistence,3,"{""ocf"": ""operating_cash_flow"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_common_size,1,"{""x"": ""continuous_close""}"
fin_component_score,1,"{""component_1"": ""continuous_close""}"
fin_comprehensive_income_gap,2,"{""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
fin_contract_asset_growth,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
