canonical,direct_use_status,mining_role,terminal_allowed,allowed_ast_positions,mining_lane,economic_effect_family,semantic_redundancy_group,data_inputs,scalar_parameters,context_inputs,group_inputs,event_inputs,output_semantic_kind,output_unit,supported_markets,source_recipes,runtime_cost,production_certified,directly_usable,retention_reason,delete_reason,replacement
SupertrendDirection,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,,high|low|close,atr_window|multiplier,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
TEMA,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,unknown,smoothed_price,x,window,,,,series,,ashare|us,daily_bar,1,False,False,full-history replay indicator — terminal-grade alpha (high cost),,
TSI,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,oscillator,close,long_window|short_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
TSI_signal,direct_alpha_high_cost,alpha_high_cost,True,intermediate|terminal,alpha_high_cost,trend,,close,long_window|short_window|signal_window,,,,series,,ashare|us,daily_bar,1,False,False,full-history / high-cost alpha (verified role),,
UltimateOscillator,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close|short_weight|medium_weight|long_weight,short_window|medium_window|long_window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
VortexMinus,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
VortexPlus,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
WMA,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
a_share_cap_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,a_cap|capitalization,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
abnormal_turnover,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,turnover,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
abnormal_volume,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
abs,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,,,,,series,,ashare|us,daily_bar,1,True,True,stock-level alpha (verified role),,
abs_return_volume_corr,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,ret|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
accounting_comparability_score,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,scaled_earnings|report_return|industry|period_id|min_peers,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
acos,move_internal,internal,False,,supporting,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,generic raw arccos — no factor semantics; use acos_bounded on a bounded input,,
acos_bounded,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,bounded-input arccos (correlation/ratio/normalized-state only) — composition building block,,
add,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|y,,,,,series,,ashare|us,daily_bar,0,True,True,stock-level alpha (verified role),,
adv,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,volume,size_liquidity,close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
altman_z_score,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,working_capital|retained_earnings|operating_profit|total_assets|market_cap|total_liabilities|revenue|period_id|mask,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
amihud_illiquidity,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,liquidity,,ret|close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
and_,direct_condition,condition,False,condition,condition,unknown,,x|y,,,,,series,,ashare|us,daily_bar,0,True,True,Boolean/comparison/missingness — condition slot only,,
aq1_accrual_ratio_dispersion,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,working_capital|earnings,window|min_periods,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
aq1_accrual_stability,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,working_capital|earnings,window|min_periods,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
aq1_cash_conversion_strength,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,operating_cash_flow|earnings,window|min_periods,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
aq1_cash_flow_volatility,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,operating_cash_flow,window|min_periods,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
aq1_working_capital_accrual,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,working_capital|earnings,min_periods,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
arg,move_internal,denied,False,,supporting,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,DSL/grammar primitive — internal supporting layer,,
ashare_days_since_limit_down,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,limit_down_event,max_lookback,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_days_since_limit_up,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,limit_up_event,max_lookback,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_failed_limit_count,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|high_limit|low_limit,high|low|window|side|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_asymmetry,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,up_event|down_event,window,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_distance,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|upper_limit,,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_down_streak,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|low_limit|valid_trade,tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_down_touch,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,lower_limit,low|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_down_volume_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,volume|limit_down_event,window,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_event_density,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,event,window|known_status,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_failed,direct_event,event,False,condition|mask,event,unknown,,close|upper_limit,high|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,A-share limit Boolean — event mask,,
ashare_limit_one_price,direct_event,event,False,condition|mask,event,unknown,,close|upper_limit|lower_limit,open|high|low|side|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,A-share limit Boolean — event mask,,
ashare_limit_open_down_streak,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,low_limit|valid_trade,open|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_open_failed,direct_event,event,False,condition|mask,event,unknown,,upper_limit,open|low|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,A-share limit Boolean — event mask,,
ashare_limit_open_up_streak,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high_limit|valid_trade,open|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_touch_count,direct_event,event,False,condition|mask,event,unknown,,high_limit|low_limit,high|low|window|side|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,A-share limit Boolean — event mask,,
ashare_limit_up_streak,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|high_limit|valid_trade,tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_up_touch,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,upper_limit,high|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_limit_up_volume_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,volume|limit_up_event,window,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_one_price_limit_streak,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|high_limit|low_limit|valid_trade,open|high|low|side|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
ashare_open_at_upper_limit,direct_event,event,False,condition|mask,event,unknown,,upper_limit,open|tick_tolerance,,,,series,,ashare,daily_bar,1,False,False,A-share limit Boolean — event mask,,
ashare_suspension_episode_length,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,is_suspend,,,,,series,,ashare,daily_bar,1,False,False,stock-level alpha (verified role),,
asin,move_internal,internal,False,,supporting,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,generic raw arcsin — no factor semantics; use asin_bounded on a bounded input,,
asin_bounded,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,bounded-input arcsin (correlation/ratio/normalized-state only) — composition building block,,
atan,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,phase extraction building block (atan2 preferred),,
atan2,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,y|x,,,,,series,,ashare|us,daily_bar,1,False,False,phase/angle extraction building block,,
atr_acceleration,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
atr_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
atr_percentile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window|score_window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
atr_short_long_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,short_window|long_window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
atr_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,window|score_window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
average_turnover,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,turnover,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
avg2,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|y,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
baseline_scaled_wasserstein_distance,direct_alpha,intraday_eod,True,intermediate|terminal,alpha_direct,unknown,,x|y,session_tz,,,,series,,ashare|us,minute_bar,4,False,False,stock-level alpha (verified role),,
benchmark_excess_return,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,ret|benchmark_ret,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
benchmark_relative_price,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,price|benchmark_price,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
beta_divergence_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,ret|market_ret,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
beta_residual_z,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,ret|market_ret,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
bollinger_pct_b,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,mean_reversion,oscillator,x|std_dev,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
bollinger_width,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,volatility,oscillator,x|std_dev,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
book_to_price,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,pb,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
bounded_nvi,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
bounded_pvi,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
bvc_imbalance_ma,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|volume,fast_window|slow_window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
bvc_sign_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,close|volume,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
calendar_day_diff,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,date1|date2,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_abs_body,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,open|close,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_body,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,open|close,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_body_percentile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_body_position,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_body_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_body_strength,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candle_body_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_close_location,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_close_strength,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_direction,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_gap,direct_intermediate,recipe_internal,False,intermediate,intermediate,gap,,open|close,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_gap_atr,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,gap,,open|high|low|close,atr_window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candle_gap_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,gap,,open|close,,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candle_inside_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_lower_shadow,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,open|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_lower_shadow_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_lower_shadow_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_overlap_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_pattern_count,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candle_range,direct_intermediate,recipe_internal,False,intermediate,intermediate,range,,high|low,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_range_atr,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_range_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candle_range_percentile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_range_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,high|low,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_rejection_lower,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_rejection_upper,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_upper_shadow,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,open|high|close,,,,,series,,ashare|us,daily_bar,1,False,False,"price-level building block — not scale-invariant, composition only",,
candle_upper_shadow_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_upper_shadow_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
candle_wick_balance,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,normalized/relative version of a level building block — dimensionless alpha,,
candlestick_pattern,direct_state,state,False,gate|interaction,state,pattern,candlestick_event,open|close|pattern,high|low|body_window|shadow_window|penetration,,,,series,,ashare|us,daily_bar,1,False,False,"categorical output — category condition/interaction, not continuous strength",,
capital_change_age,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,change_date,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
capital_change_magnitude,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,total_capital,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
