task_id,priority,category,description,status,evidence_file,notes
R32-P0-048,P0,Credentials,EnvCredentialProvider 按 credential family 原子解析,PARTIAL,/home/shw/quant_projects/dataaccess/security/credentials.py,"Lines 94-133: EnvCredentialProvider resolves access/secret/token. Uses next() with generator - ISSUE: searches independently for access_key and secret_key, could mix families. Should try complete families atomically"
R32-P0-049,P0,Resolution,PhysicalResolutionContext 失败不得折叠成共享空字符串,DONE,/home/shw/quant_projects/dataaccess/read/read_session.py,"Lines 68-135: from_store() returns UNKNOWN_UNSHAREABLE with unique time_ns ID on failure in research mode, fails in production strict mode"
R32-P0-050,P0,Resolution,_ResolutionCache.clear() 必须同时清 context memo,DONE,/home/shw/quant_projects/dataaccess/read/read_session.py,"Lines 179-182: clear() method calls super().clear() and self._memo.clear(), ensures fresh context after mutations"
R32-P0-051,P0,Session,DataReadSession 使用显式状态机 + ExitStack,DONE,/home/shw/quant_projects/dataaccess/read/read_session.py,"Lines 41-46: SessionState enum (NEW/ACTIVE/CLOSED). Lines 223-292: __enter__ uses ExitStack to register cleanups, state machine prevents double-enter"
R32-P0-052,P0,Session,DataReadSession critical cleanup 失败不能静默,DONE,/home/shw/quant_projects/dataaccess/read/read_session.py,"Lines 294-334: __exit__ tracks cleanup errors, logs critical failures, emits telemetry, surfaces errors in production strict mode"
R32-P0-053,P0,Cache,SourceBlock cache identity 必须由 PreparedRead 自动产生,NOT_VERIFIED,N/A,"Need to audit PreparedRead/SourceBlock cache implementation to verify automatic cache key generation includes all required dimensions"
R32-P0-054,P0,Cache,SourceBlock cache 必须 lease/refcount exactly-once,NOT_VERIFIED,N/A,"Need to find SourceBlock cache implementation and verify refcount/lease lifecycle management"
R32-P0-055,P0,Cache,SourceBlock/PreparedRead concurrent miss 使用 singleflight,NOT_VERIFIED,N/A,"Need to verify singleflight pattern implementation for concurrent identical requests"
R32-P0-056,P0,Cache,Query result cache 先授权，再 lookup,NOT_VERIFIED,N/A,"Need to audit query cache to verify authorization happens before cache lookup, cannot bypass dataset authorization"
R32-P0-057,P0,Cache,Query cache key 必须 security/policy/source scoped,PARTIAL,/home/shw/quant_projects/dataaccess/read/query_cache.py,"Lines 74-75: meta includes security_digest. Lines 182,192: CachedReadResult includes security_digest, principal_id. Need to verify cache key construction includes all security/policy dimensions"
R32-P0-058,P0,Cache,Cache hit 也必须产生 lineage/audit/provenance,DONE,/home/shw/quant_projects/dataaccess/read/query_cache.py,"Lines 88-103: get_entry() returns (value, meta) with provenance. Lines 179-221: CachedReadResult preserves original_snapshot_id, security_digest, principal_id, source_generation, cache_provenance for audit/lineage recovery on cache hit"
R32-P0-059,P0,Session,DataReadSession/R30 session 只保留一个 canonical session,PARTIAL,/home/shw/quant_projects/dataaccess/read/read_session.py,"DataReadSession exists in read/read_session.py as canonical session. Need to verify r30 session is deprecated alias-only and migration complete"
R32-P0-060,P0,IR,CompiledDataRequest 只接受 canonical immutable IR,DONE,/home/shw/quant_projects/dataaccess/read/data_request.py,"Lines 52-114: CompiledDataRequest frozen dataclass. Lines 117-150: _immutable() deep freezes nested structures (dict→MappingProxyType, list→tuple). Lines 220-284: compile_data_request() freezes all filters/joins/params/transforms/aggregations. Mutable objects rejected by frozen container"
R32-P0-061,P0,IR,ReadPlanIR 与 Executor 分离,DONE,/home/shw/quant_projects/dataaccess/read/data_request.py,"Lines 385-430: ReadPlan is frozen dataclass with compiled IR. Line 429: _store field holds execution capability (repr=False, separate). Lines 413-415: physical plan and compiled IR are separate fields. Line 478: explain() reads IR only"
R32-P0-062,P0,IR,ReadPlan 所有 nested values 必须 deep frozen,DONE,/home/shw/quant_projects/dataaccess/read/data_request.py,"Lines 431-467: __post_init__ freezes all nested values: scan_costs→MappingProxyType, join_specs_effective→MappingProxyType, plan_snapshot_tokens→MappingProxyType with _freeze_token, plan_pinned_files→tuple. Lines 192-200: _freeze_token recursively freezes nested structures"
