factor_id,factor_name_zh,category,subcategory,dsl,variant,base_factor,direction_high_is_good,replication_grade,applicability,pit_class,implementation_status,missing_dsl_operators,pending_allowlist_operators,source_preprocessing_requirements,missing_raw_fields,virtual_source_fields,derived_relation_fields,required_fields,operators_used,required_new_operators,source_acronym,source_name,source_authors,source_year,source_journal,source_sign,source_category,source_definition_summary,notes,ast_syntax_valid,dsl_calls,field_identifiers,required_new_operators_original,dsl_normalized,formula_hash,formula_duplicate_count,canonical_factor_id_for_formula,is_canonical_formula,source_url,evidence_type,increment_batch,ast_error,duplicate_of_existing,duplicate_within_supplement,selected_variant,selection_reason,library_role,preprocess_policy
VAL011,总营业收入TTM/总市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_total_operating_revenue, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_market_cap), industry_industry_code)",irank,VAL011,1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_report_period_end_date|inc_total_operating_revenue|industry_industry_code|val_market_cap,group_rank|safe_div|ttm_from_cumulative,,SP,Sales-to-price,"Barbee, Mukherji and Raines",1996.0,FAJ,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_report_period_end_date|inc_total_operating_revenue|industry_industry_code|val_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_total_operating_revenue,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_market_cap),industry_industry_code)",c78a57287048a43b,1,VAL011__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL012,经营现金流TTM/总市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(cf_net_operate_cash_flow, cf_report_period_end_date, cf_fiscal_quarter, revision_policy='latest_available'), val_market_cap), industry_industry_code)",irank,VAL012,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,cf_fiscal_quarter|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_market_cap,group_rank|safe_div|ttm_from_cumulative,,cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004.0,AR,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,cf_fiscal_quarter|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(ttm_from_cumulative(cf_net_operate_cash_flow,cf_report_period_end_date,cf_fiscal_quarter,revision_policy='latest_available'),val_market_cap),industry_industry_code)",f95d16b8f3a767e4,1,VAL012__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL013,自由现金流收益率,valuation,value_yield,"group_rank(safe_div(subtract(ttm_from_cumulative(cf_net_operate_cash_flow, cf_report_period_end_date, cf_fiscal_quarter, revision_policy='latest_available'), ttm_from_cumulative(cf_fix_intan_other_asset_acqui_cash, cf_report_period_end_date, cf_fiscal_quarter, revision_policy='latest_available')), val_market_cap), industry_industry_code)",irank,VAL013,1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,cf_fiscal_quarter|cf_fix_intan_other_asset_acqui_cash|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_market_cap,group_rank|safe_div|subtract|ttm_from_cumulative,,cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004.0,AR,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|subtract|ttm_from_cumulative,cf_fiscal_quarter|cf_fix_intan_other_asset_acqui_cash|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(subtract(ttm_from_cumulative(cf_net_operate_cash_flow,cf_report_period_end_date,cf_fiscal_quarter,revision_policy='latest_available'),ttm_from_cumulative(cf_fix_intan_other_asset_acqui_cash,cf_report_period_end_date,cf_fiscal_quarter,revision_policy='latest_available')),val_market_cap),industry_industry_code)",833c2c9ac590f13c,1,VAL013__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL014,账面权益/总市值,valuation,value_yield,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners, bal_total_owner_equities), val_market_cap), industry_industry_code)",irank,VAL014,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_market_cap,coalesce|group_rank|safe_div,,BM,"Book to market, original (Stattman 1980)",Stattman,1980.0,Other,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,coalesce|group_rank|safe_div,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_market_cap,,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners,bal_total_owner_equities),val_market_cap),industry_industry_code)",f8a34e84f40557dc,1,VAL014__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL015,总资产/总市值,valuation,value_yield,"group_rank(safe_div(bal_total_assets, val_market_cap), industry_industry_code)",irank,VAL015,1,paper_close,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_total_assets|industry_industry_code|val_market_cap,group_rank|safe_div,,AM,Total assets to market,Fama and French,1992.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,bal_total_assets|industry_industry_code|val_market_cap,,"group_rank(safe_div(bal_total_assets,val_market_cap),industry_industry_code)",73600a27f79ba042,1,VAL015__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL016,现金/总市值,valuation,value_yield,"group_rank(safe_div(bal_cash_equivalents, val_market_cap), industry_industry_code)",irank,VAL016,1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_cash_equivalents|industry_industry_code|val_market_cap,group_rank|safe_div,,Cash,Cash to assets,Palazzo,2012.0,JFE,1.0,asset composition,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,bal_cash_equivalents|industry_industry_code|val_market_cap,,"group_rank(safe_div(bal_cash_equivalents,val_market_cap),industry_industry_code)",1a22e0b7917efe17,1,VAL016__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL017,净债务/总市值,valuation,value_yield,"group_rank(safe_div(subtract(row_sum_skipna(bal_shortterm_loan, bal_non_current_liability_in_one_year, bal_longterm_loan, bal_bonds_payable, bal_lease_liability, min_count=1), bal_cash_equivalents), val_market_cap), industry_industry_code)",irank,VAL017,-1,paper_close,all_equities,strict_pit,requires_operator_extension,row_sum_skipna,,,,,,bal_bonds_payable|bal_cash_equivalents|bal_lease_liability|bal_longterm_loan|bal_non_current_liability_in_one_year|bal_shortterm_loan|industry_industry_code|val_market_cap,group_rank|row_sum_skipna|safe_div|subtract,row_sum_skipna,NetDebtPrice,Net debt to price,"Penman, Richardson and Tuna",2007.0,JAR,-1.0,leverage,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|row_sum_skipna|safe_div|subtract,bal_bonds_payable|bal_cash_equivalents|bal_lease_liability|bal_longterm_loan|bal_non_current_liability_in_one_year|bal_shortterm_loan|industry_industry_code|val_market_cap,,"group_rank(safe_div(subtract(row_sum_skipna(bal_shortterm_loan,bal_non_current_liability_in_one_year,bal_longterm_loan,bal_bonds_payable,bal_lease_liability,min_count=1),bal_cash_equivalents),val_market_cap),industry_industry_code)",3c2288511095044f,1,VAL017__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL018,总负债/总市值,valuation,value_yield,"group_rank(safe_div(bal_total_liability, val_market_cap), industry_industry_code)",irank,VAL018,-1,paper_inspired,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_total_liability|industry_industry_code|val_market_cap,group_rank|safe_div,,Leverage,Market leverage,Bhandari,1988.0,JF,1.0,leverage,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div,bal_total_liability|industry_industry_code|val_market_cap,,"group_rank(safe_div(bal_total_liability,val_market_cap),industry_industry_code)",26a7d3c317cc11b7,1,VAL018__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL019,归母净利润TTM/流通市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_circulating_market_cap), industry_industry_code)",irank,VAL019,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_circulating_market_cap,group_rank|safe_div|ttm_from_cumulative,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_circulating_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_circulating_market_cap),industry_industry_code)",a3ede6af92623ea2,1,VAL019__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL020,归母净利润TTM/自由流通市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_free_market_cap), industry_industry_code)",irank,VAL020,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_free_market_cap,group_rank|safe_div|ttm_from_cumulative,,EP,Earnings-to-Price Ratio,Basu,1977.0,JF,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_np_parent_company_owners|inc_report_period_end_date|industry_industry_code|val_free_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_np_parent_company_owners,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_free_market_cap),industry_industry_code)",ea273720162b99ba,1,VAL020__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL021,账面权益/流通市值,valuation,value_yield,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners, bal_total_owner_equities), val_circulating_market_cap), industry_industry_code)",irank,VAL021,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_circulating_market_cap,coalesce|group_rank|safe_div,,BM,"Book to market, original (Stattman 1980)",Stattman,1980.0,Other,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,coalesce|group_rank|safe_div,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_circulating_market_cap,,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners,bal_total_owner_equities),val_circulating_market_cap),industry_industry_code)",a0fe8cc32545cb20,1,VAL021__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL022,账面权益/自由流通市值,valuation,value_yield,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners, bal_total_owner_equities), val_free_market_cap), industry_industry_code)",irank,VAL022,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_free_market_cap,coalesce|group_rank|safe_div,,BM,"Book to market, original (Stattman 1980)",Stattman,1980.0,Other,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,coalesce|group_rank|safe_div,bal_equities_parent_company_owners|bal_total_owner_equities|industry_industry_code|val_free_market_cap,,"group_rank(safe_div(coalesce(bal_equities_parent_company_owners,bal_total_owner_equities),val_free_market_cap),industry_industry_code)",03edcbef10c759ad,1,VAL022__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL023,经营现金流TTM/流通市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(cf_net_operate_cash_flow, cf_report_period_end_date, cf_fiscal_quarter, revision_policy='latest_available'), val_circulating_market_cap), industry_industry_code)",irank,VAL023,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,cf_fiscal_quarter|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_circulating_market_cap,group_rank|safe_div|ttm_from_cumulative,,cfp,Operating Cash flows to price,"Desai, Rajgopal, Venkatachalam",2004.0,AR,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,cf_fiscal_quarter|cf_net_operate_cash_flow|cf_report_period_end_date|industry_industry_code|val_circulating_market_cap,,"group_rank(safe_div(ttm_from_cumulative(cf_net_operate_cash_flow,cf_report_period_end_date,cf_fiscal_quarter,revision_policy='latest_available'),val_circulating_market_cap),industry_industry_code)",9ec51e51508f7743,1,VAL023__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL024,销售TTM/流通市值,valuation,value_yield,"group_rank(safe_div(ttm_from_cumulative(inc_operating_revenue, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available'), val_circulating_market_cap), industry_industry_code)",irank,VAL024,1,a_share_extension,all_equities,strict_pit,dsl_signature_ready,,,,,,,inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_circulating_market_cap,group_rank|safe_div|ttm_from_cumulative,,SP,Sales-to-price,"Barbee, Mukherji and Raines",1996.0,FAJ,1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,group_rank|safe_div|ttm_from_cumulative,inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_circulating_market_cap,,"group_rank(safe_div(ttm_from_cumulative(inc_operating_revenue,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available'),val_circulating_market_cap),industry_industry_code)",b5d9bfe309b81311,1,VAL024__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
VAL025,企业价值/营业收入TTM,valuation,value_yield,"group_rank(safe_div(add(val_market_cap, add(subtract(row_sum_skipna(bal_shortterm_loan, bal_non_current_liability_in_one_year, bal_longterm_loan, bal_bonds_payable, bal_lease_liability, min_count=1), bal_cash_equivalents), bal_minority_interests)), ttm_from_cumulative(inc_operating_revenue, inc_report_period_end_date, inc_fiscal_quarter, revision_policy='latest_available')), industry_industry_code)",irank,VAL025,-1,paper_close,all_equities,strict_pit,requires_operator_extension,row_sum_skipna,,,,,,bal_bonds_payable|bal_cash_equivalents|bal_lease_liability|bal_longterm_loan|bal_minority_interests|bal_non_current_liability_in_one_year|bal_shortterm_loan|inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_market_cap,add|group_rank|row_sum_skipna|safe_div|subtract|ttm_from_cumulative,row_sum_skipna,EntMult,Enterprise Multiple,Loughran and Wellman,2011.0,JFQA,-1.0,valuation,,财务字段均按PubDate完成PIT对齐；TTM由累计口径按报告期转换。,True,add|group_rank|row_sum_skipna|safe_div|subtract|ttm_from_cumulative,bal_bonds_payable|bal_cash_equivalents|bal_lease_liability|bal_longterm_loan|bal_minority_interests|bal_non_current_liability_in_one_year|bal_shortterm_loan|inc_fiscal_quarter|inc_operating_revenue|inc_report_period_end_date|industry_industry_code|val_market_cap,,"group_rank(safe_div(add(val_market_cap,add(subtract(row_sum_skipna(bal_shortterm_loan,bal_non_current_liability_in_one_year,bal_longterm_loan,bal_bonds_payable,bal_lease_liability,min_count=1),bal_cash_equivalents),bal_minority_interests)),ttm_from_cumulative(inc_operating_revenue,inc_report_period_end_date,inc_fiscal_quarter,revision_policy='latest_available')),industry_industry_code)",1beaea448448b14a,1,VAL025__irank,True,,,,,,,irank,行业内排名作为生产默认，控制行业结构差异并降低极端值影响,single_production_default,行业内百分位结果直接使用；模型层只处理缺失值
