canonical,aliases,source_file,source_symbol,category,business_category,surface,production_certification,role,terminal_allowed,deterministic,pit_safe_claim,stateful,input_arity,input_grain,output_grain,input_units,output_unit,params,default_params,backends,window_semantics,tags,description
PPO_hist,,cleaned_operators.technical.indicators_v2,TechnicalV2_PPO_hist,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|fast_window|slow_window|signal_window,"{""fast_window"": ""MISSING"", ""signal_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,PPO histogram.
PPO_signal,,cleaned_operators.technical.indicators_v2,TechnicalV2_PPO_signal,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|fast_window|slow_window|signal_window,"{""fast_window"": ""MISSING"", ""signal_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,PPO signal line.
PSAR,,cleaned_operators.technical.indicators_v2,TechnicalV2_PSAR,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|acceleration|maximum,"{""acceleration"": ""MISSING"", ""maximum"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Parabolic SAR; recursive/stateful.
PVO,,cleaned_operators.technical.indicators_v2,TechnicalV2_PVO,technical_signal,technical,daily,PENDING,,,,,,,,,,,volume|fast_window|slow_window,"{""fast_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Percentage volume oscillator.
PVO_hist,,cleaned_operators.technical.indicators_v2,TechnicalV2_PVO_hist,technical_signal,technical,daily,PENDING,,,,,,,,,,,volume|fast_window|slow_window|signal_window,"{""fast_window"": ""MISSING"", ""signal_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,PVO histogram.
PVO_signal,,cleaned_operators.technical.indicators_v2,TechnicalV2_PVO_signal,technical_signal,technical,daily,PENDING,,,,,,,,,,,volume|fast_window|slow_window|signal_window,"{""fast_window"": ""MISSING"", ""signal_window"": ""MISSING"", ""slow_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,PVO signal line.
RSI_WILDER,ts_rsi_wilder,cleaned_operators.overhaul.base,PandasFunctionOperator,technical_signal,,daily,PENDING,,,,,,,,,,,x|window,{},pandas_numpy|polars,,daily|panel|technical_signal,共享 Wilder 平滑内核的 RSI
Supertrend,,cleaned_operators.technical.indicators_v2,TechnicalV2_Supertrend,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|atr_window|multiplier,"{""atr_window"": ""MISSING"", ""multiplier"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Recursive Supertrend level.
SupertrendDirection,,cleaned_operators.technical.indicators_v2,TechnicalV2_SupertrendDirection,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|atr_window|multiplier,"{""atr_window"": ""MISSING"", ""multiplier"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Recursive Supertrend direction (+1/-1).
TEMA,,cleaned_operators.technical.indicators_v2,TechnicalV2_TEMA,technical_signal,technical,daily,PENDING,,,,,,,,,,,x|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Triple exponential moving average.
TSI,,cleaned_operators.technical.indicators_v2,TechnicalV2_TSI,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|long_window|short_window,"{""long_window"": ""MISSING"", ""short_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,True Strength Index with explicit smoothing windows.
TSI_signal,,cleaned_operators.technical.indicators_v2,TechnicalV2_TSI_signal,technical_signal,technical,daily,PENDING,,,,,,,,,,,close|long_window|short_window|signal_window,"{""long_window"": ""MISSING"", ""short_window"": ""MISSING"", ""signal_window"": ""MISSING""}",pandas_numpy|polars,,pit_safe|causal|production_extension|stateful|full_replay,Signal line of TSI.
UltimateOscillator,,cleaned_operators.technical.indicators_v2,TechnicalV2_UltimateOscillator,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|short_window|medium_window|long_window|short_weight|medium_weight|long_weight,"{""long_weight"": ""MISSING"", ""long_window"": ""MISSING"", ""medium_weight"": ""MISSING"", ""medium_window"": ""MISSING"", ""short_weight"": ""MISSING"", ""short_window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Ultimate oscillator with explicit windows and weights.
VortexMinus,,cleaned_operators.technical.indicators_v2,TechnicalV2_VortexMinus,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Negative Vortex indicator.
VortexPlus,,cleaned_operators.technical.indicators_v2,TechnicalV2_VortexPlus,technical_signal,technical,daily,PENDING,,,,,,,,,,,high|low|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Positive Vortex indicator.
a_share_cap_ratio,,cleaned_operators.valuation.ops_v2,Valuation_a_share_cap_ratio,valuation,valuation,daily,PENDING,,,,,,,,,,,a_cap|capitalization,{},pandas_numpy|polars,,"valuation|ashare|daily|pit_safe|causal|typed_v2|signature:a_cap,capitalization->series|domain:valuation|unit:ratio|cost:1",A 股股本 / 总股本。
abnormal_turnover,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_abnormal_turnover,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,turnover|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Current turnover versus prior rolling mean.
abnormal_volume,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_abnormal_volume,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Current volume versus prior rolling mean.
abs,ABS,cleaned_operators.common.elementwise,Abs,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|unary|absolute,计算绝对值
abs_return_volume_corr,,cleaned_operators.price_volume.technical_extensions,Production_abs_return_volume_corr,price_volume_extension,technical_extension,daily,PENDING,,,,,,,,,,,ret|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Rolling absolute-return/volume correlation.
acos,,cleaned_operators.common.elementwise,Acos,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|trigonometric|inverse,"计算反余弦值（返回弧度；定义域 [-1,1]，越界 → NaN）"
acos_bounded,,cleaned_operators.common.elementwise,AcosBounded,math,elementwise_math,extended,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars,,math|trigonometric|inverse|typed_bounded|extended,"反余弦角（定义域 [-1,1]，越界 → NaN；仅允许 correlation / bounded ratio / normalized state 输入）"
add,,cleaned_operators.common.elementwise,AddOp,elementwise_math,elementwise_math,daily,PENDING,,,,,,,,,,,,{},pandas_numpy|polars|sql,,allow_panel_broadcast,Basic runtime operator
adv,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_adv,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,close|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Average dollar volume.
altman_z_score,,cleaned_operators.fundamental.quality_v2,FundamentalQuality_altman_z_score,fundamental_period,fundamental,daily,PENDING,,,,,,,,,working_capital|retained_earnings|operating_profit|total_assets|market_cap|total_liabilities|revenue|net_profit|current_assets|current_liabilities|period_id,,working_capital|retained_earnings|operating_profit|total_assets|market_cap|total_liabilities|revenue|period_id|mask,{},pandas_numpy|polars,,"fundamental|period_aware|pit_safe|causal|typed_v2|signature:working_capital,retained_earnings,operating_profit,total_assets,market_cap,total_liabilities,revenue,period_id,mask->series|domain:fundamental|unit:ratio|cost:3|applicable_universe:non_financial",Altman Z-score（非金融企业版；适用域=非金融，适用性掩码为必填，#55）。输入=资产负债表存量/损益流量字段（round-3 item 30）。
amihud_illiquidity,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_amihud_illiquidity,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,ret|close|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Rolling Amihud illiquidity proxy.
and_,,cleaned_operators.common.elementwise,AndOp,elementwise_math,elementwise_math,daily,PENDING,,,,,,,,,,,,{},pandas_numpy|polars|sql,,,Basic runtime operator
arg,,cleaned_operators.common.elementwise,Arg,math,elementwise_math,unsafe,DENIED,,,,,,,,,,,x,{},pandas_numpy,,math|complex|phase|unsafe,复数相位（弧度）
ashare_days_since_limit_down,,cleaned_operators.ashare.state_machine,AshareDaysSinceLimitDown,ashare,trading_state,daily,PENDING,,,,,,,,,,,limit_down_event|max_lookback,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:limit_down_event,max_lookback->series|domain:trading_state|unit:count|cost:1",距最近跌停天数（缺失打断）。
ashare_days_since_limit_up,,cleaned_operators.ashare.state_machine,AshareDaysSinceLimitUp,ashare,trading_state,daily,PENDING,,,,,,,,,,,limit_up_event|max_lookback,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:limit_up_event,max_lookback->series|domain:trading_state|unit:count|cost:1",距最近涨停天数（缺失打断）。
ashare_failed_limit_count,,cleaned_operators.ashare.state_machine,AshareFailedLimitCount,ashare,trading_state,daily,PENDING,,,,,,,,,,,high|low|close|high_limit|low_limit|window|side|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:high,low,close,high_limit,low_limit,window,side,tick_tolerance->series|domain:trading_state|unit:count|cost:1",窗口内触及未封住的天数（side='up'/'down'）。
ashare_limit_asymmetry,,cleaned_operators.ashare.state_machine,AshareLimitAsymmetry,ashare,trading_state,daily,PENDING,,,,,,,,,,,up_event|down_event|window,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:up_event,down_event,window->series|domain:trading_state|unit:ratio|cost:1",涨停密度减跌停密度。
ashare_limit_distance,,cleaned_operators.ashare.limit_ops,AshareLimitDistance,ashare,trading_state,daily,PENDING,,,,,,,,,,,close|upper_limit,{},pandas_numpy|polars|sql,,"ashare|daily|pit_safe|causal|typed_v2|signature:close,upper_limit->series|domain:trading_state|unit:ratio|cost:1",收盘价相对涨停价的距离 close/upper_limit - 1。
ashare_limit_down_streak,,cleaned_operators.ashare.state_machine,AshareLimitDownStreak,ashare,trading_state,daily,PENDING,,,,,,,,,,,close|low_limit|valid_trade|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:close,low_limit,valid_trade,tick_tolerance->series|domain:trading_state|unit:count|cost:1",连续收盘跌停天数。
ashare_limit_down_touch,,cleaned_operators.ashare.limit_ops,AshareLimitDownTouch,ashare,trading_state,daily,PENDING,,,,,,,,,,,low|lower_limit|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:low,lower_limit,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",日内最低价触及跌停价。
ashare_limit_down_volume_ratio,,cleaned_operators.ashare.state_machine,AshareLimitDownVolumeRatio,ashare,trading_state,daily,PENDING,,,,,,,,,,,volume|limit_down_event|window,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:volume,limit_down_event,window->series|domain:trading_state|unit:ratio|cost:1",跌停日均量相对窗口日均量。
ashare_limit_event_density,,cleaned_operators.ashare.state_machine,AshareLimitEventDensity,ashare,trading_state,daily,PENDING,,,,,,,,,,,event|window|known_status,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:event,window,known_status->series|domain:trading_state|unit:ratio|cost:1",窗口内事件密度（除以已知状态日数）。
ashare_limit_failed,,cleaned_operators.ashare.limit_ops,AshareLimitFailed,ashare,trading_state,daily,PENDING,,,,,,,,,,,high|close|upper_limit|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:high,close,upper_limit,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",当日触及涨停但收盘未封住。
ashare_limit_one_price,,cleaned_operators.ashare.limit_ops,AshareLimitOnePrice,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|high|low|close|upper_limit|lower_limit|side|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,high,low,close,upper_limit,lower_limit,side,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",一字板：OHLC 全部处于同一涨跌停价。
ashare_limit_open_down_streak,,cleaned_operators.ashare.state_machine,AshareLimitOpenDownStreak,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|low_limit|valid_trade|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,low_limit,valid_trade,tick_tolerance->series|domain:trading_state|unit:count|cost:1",连续开盘跌停天数。
ashare_limit_open_failed,,cleaned_operators.ashare.limit_ops,AshareLimitOpenFailed,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|low|upper_limit|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,low,upper_limit,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",开盘涨停后盘中开板（low 跌破涨停价）。
ashare_limit_open_up_streak,,cleaned_operators.ashare.state_machine,AshareLimitOpenUpStreak,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|high_limit|valid_trade|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,high_limit,valid_trade,tick_tolerance->series|domain:trading_state|unit:count|cost:1",连续开盘涨停天数。
ashare_limit_touch_count,,cleaned_operators.ashare.state_machine,AshareLimitTouchCount,ashare,trading_state,daily,PENDING,,,,,,,,,,,high|low|high_limit|low_limit|window|side|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:high,low,high_limit,low_limit,window,side,tick_tolerance->series|domain:trading_state|unit:count|cost:1",窗口内触及涨跌停天数（side='up'/'down'）。
ashare_limit_up_streak,,cleaned_operators.ashare.state_machine,AshareLimitUpStreak,ashare,trading_state,daily,PENDING,,,,,,,,,,,close|high_limit|valid_trade|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:close,high_limit,valid_trade,tick_tolerance->series|domain:trading_state|unit:count|cost:1",连续收盘涨停天数。
ashare_limit_up_touch,,cleaned_operators.ashare.limit_ops,AshareLimitUpTouch,ashare,trading_state,daily,PENDING,,,,,,,,,,,high|upper_limit|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:high,upper_limit,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",日内最高价触及涨停价。
ashare_limit_up_volume_ratio,,cleaned_operators.ashare.state_machine,AshareLimitUpVolumeRatio,ashare,trading_state,daily,PENDING,,,,,,,,,,,volume|limit_up_event|window,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:volume,limit_up_event,window->series|domain:trading_state|unit:ratio|cost:1",涨停日均量相对窗口日均量。
ashare_one_price_limit_streak,,cleaned_operators.ashare.state_machine,AshareOnePriceLimitStreak,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|high|low|close|high_limit|low_limit|valid_trade|side|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,high,low,close,high_limit,low_limit,valid_trade,side,tick_tolerance->series|domain:trading_state|unit:count|cost:1",连续一字板天数（side='up'/'down'）。
ashare_open_at_upper_limit,,cleaned_operators.ashare.limit_ops,AshareOpenAtUpperLimit,ashare,trading_state,daily,PENDING,,,,,,,,,,,open|upper_limit|tick_tolerance,{},pandas_numpy|polars,,"ashare|daily|pit_safe|causal|typed_v2|signature:open,upper_limit,tick_tolerance->series|domain:trading_state|unit:boolean|cost:1",开盘达到涨停价。
ashare_suspension_episode_length,,cleaned_operators.ashare.state_machine,AshareSuspensionEpisodeLength,ashare,trading_state,daily,PENDING,,,,,,,,,,,is_suspend,{},pandas_numpy|polars,,ashare|daily|pit_safe|causal|typed_v2|signature:is_suspend->series|domain:trading_state|unit:count|cost:1,当前停牌连续长度。
asin,,cleaned_operators.common.elementwise,Asin,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|trigonometric|inverse,"计算反正弦值（返回弧度；定义域 [-1,1]，越界 → NaN）"
asin_bounded,,cleaned_operators.common.elementwise,AsinBounded,math,elementwise_math,extended,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars,,math|trigonometric|inverse|typed_bounded|extended,"反余弦角（定义域 [-1,1]，越界 → NaN；仅允许 correlation / bounded ratio / normalized state 输入）"
atan,,cleaned_operators.common.elementwise,Atan,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|trigonometric|inverse,计算反正切值（返回弧度）
atan2,,cleaned_operators.common.elementwise,Atan2,math,elementwise_math,daily,PENDING,,,,,,,,,,,y|x,{},pandas_numpy|polars|sql,,math|trigonometric|inverse,"计算坐标(y,x)的反正切值"
average_turnover,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_average_turnover,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,turnover|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Rolling average turnover/activity.
baseline_scaled_wasserstein_distance,,cleaned_operators.advanced_intraday,BaselineScaledWassersteinDistance,intraday_microstructure,intraday_microstructure,extended,PENDING,,,,,,,minute,daily,,,x|y|session_tz,"{""session_tz"": ""MISSING""}",pandas_numpy|polars,,"intraday|daily_agg|minute|pit_safe|causal|typed_v2|deterministic|signature:x,y,session_tz->series|unit:ratio|cost:4|extended",两日内分布 W1 距离，按基准序列同日 MAD 缩放（baseline-scaled，非对称）。
benchmark_excess_return,,cleaned_operators.ashare.ops,BenchmarkExcessReturn,ashare,benchmark_relative,daily,PENDING,,,,,,,,,,,ret|benchmark_ret,{},pandas_numpy|polars|sql,,"ashare|daily|pit_safe|causal|typed_v2|signature:ret,benchmark_ret->series|domain:benchmark|unit:return|cost:1",个股收益减基准收益。
benchmark_relative_price,,cleaned_operators.ashare.ops,BenchmarkRelativePrice,ashare,benchmark_relative,daily,PENDING,,,,,,,,,,,price|benchmark_price,{},pandas_numpy|polars|sql,,"ashare|daily|pit_safe|causal|typed_v2|signature:price,benchmark_price->series|domain:benchmark|unit:ratio|cost:1",个股价格相对基准点位。
bollinger_pct_b,,cleaned_operators.price_volume.technical_extensions,Production_bollinger_pct_b,technical_signal,technical_extension,daily,PENDING,,,,,,,,,,,x|window|std_dev,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Bollinger percent-B.
bollinger_width,,cleaned_operators.price_volume.technical_extensions,Production_bollinger_width,technical_signal,technical_extension,daily,PENDING,,,,,,,,,,,x|window|std_dev,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Normalized Bollinger bandwidth.
book_to_price,,cleaned_operators.ashare.ops,BookToPrice,ashare,valuation,daily,PENDING,,,,,,,,,,,pb,{},pandas_numpy|polars|sql,,ashare|daily|pit_safe|causal|typed_v2|signature:pb->series|domain:valuation|unit:ratio|cost:1,账面市值比：1 / PB；非正 PB 视为无效。
bounded_nvi,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_bounded_nvi,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,close|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Bounded Negative Volume Index return over explicit history.
bounded_pvi,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_bounded_pvi,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,close|volume|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Bounded Positive Volume Index return over explicit history.
calendar_day_diff,,cleaned_operators.relation.ops,CalendarDayDiff,event,event,daily,PENDING,,,,,,,,,,,date1|date2,{},pandas_numpy|polars,,"event|daily|pit_safe|causal|typed_v2|signature:date1,date2->series|domain:calendar|unit:count|cost:1",date2 - date1（自然日差）。
candle_abs_body,,cleaned_operators.price_volume.technical_extensions,Production_candle_abs_body,candle_geometry,technical_extension,daily,PENDING,,,,,,,,,,,open|close,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Absolute candle body.
candle_body,,cleaned_operators.price_volume.technical_extensions,Production_candle_body,candle_geometry,technical_extension,daily,PENDING,,,,,,,,,,,open|close,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Signed candle body: close-open.
candle_body_percentile,,cleaned_operators.price_volume.candle_geometry_v2,CandleGeometryV2_candle_body_percentile,candle_pattern,technical_extension,daily,PENDING,,,,,,,,,,,open|close|window,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|continuous_candle|production_extension,Body-size percentile within an explicit window.
